1. Na3 a6 
2. Nc4 b5 
3. Na5 Nc6 
4. Nxc6 dxc6 
5. Nf3 Bb7 
6. Ne5 Qd5 
7. Nf3 Bc8 
8. Nh4 Bb7 
9. Nf3 Bc8 
10. Ng1 a5 
11. Nf3 Bb7 
12. Nh4 Bc8 
13. Nf3 Bb7 
14. Ng1 Bc8 
15. a3 Rb8 
16. Nf3 Bb7 
17. Nh4 Bc8 
18. Nf3 Bb7 
19. Ng1 Bc8 
20. a4 bxa4 
21. Rxa4 Bb7 
22. Nf3 Ba8 
23. Ng1 Nf6 
24. Nf3 Bb7 
25. Ng1 Ba8 
26. Nf3 Bb7 
27. Ng1 Bc8 
28. Nf3 Bd7 
29. Rf4 Bc8 
30. Nd4 Bb7 
31. Nf5 Ba8 
32. Ne3 Qd8 
33. Ng4 Nxg4 
34. Rxg4 Bb7 
35. Rg5 Ra8 
36. Rc5 Ra7 
37. Re5 Ba8 
38. Rc5 Bb7 
39. Re5 Ba8 
40. Rc5 Rg8 
41. Re5 Bb7 
42. Rc5 Ba8 
43. Re5 Bb7 
44. Rc5 Rh8 
45. Re5 Ba8 
46. Rc5 Bb7 
47. Re5 Ba8 
48. Rc5 Ra6 
49. Re5 Bb7 
50. Rc5 Ba8 
51. Re5 Bb7 
52. Rc5 Bc8 
53. e3 e6 
54. Bxa6 Bxc5 
55. Bxc8 Qxc8 
56. Qg4 Bf8 
57. Rf1 Qa8 
58. Rg1 Rg8 
59. Rf1 Be7 
60. Rg1 Bd8 
61. Rh1 Be7 
62. Rf1 Bd8 
63. Rg1 Be7 
64. Rf1 Bd8 
65. Rg1 Be7 
66. Rh1 Bd8 
67. Qh5 h6 
68. Rf1 Be7 
69. Rg1 Bd8 
70. Rf1 Be7 
71. Rg1 Bd8 
72. Rh1 Be7 
73. Rf1 Bd8 
74. Rg1 Be7 
75. Rf1 Bd8 
76. Rg1 Be7 
77. Rh1 Bd8 
78. Qc5 Be7 
79. Qe5 Bd8 
80. Rf1 Qa7 
81. Rg1 Be7 
82. Rf1 Bd8 
83. Rg1 Be7 
84. Rf1 Bd6 
85. Qh5 Qc5 
86. Qxc5 Bxc5 
87. Rg1 Ba7 
88. g4 Bb6 
89. Rg3 Bc5 
90. Rf3 Bf8 
91. Rf4 Be7 
92. Ra4 Bd6 
93. Rxa5 Kd7 
94. Ra7 Bxh2 
95. Ra6 Bd6 
96. Ra7 Be7 
97. Rb7 Ra8 
98. Rb3 Ra1 
99. Rd3 Bd6 
100. Kd1 Ra5 
101. e4 Kc8 
102. b4 Bxb4 
103. Bb2 Bf8 
104. Bd4 Rg5 
105. Rf3 Rxg4 
106. Rxf7 Rg1 
107. Ke2 Bd6 
108. Bxg7 Bf4 
109. Rf8 Kb7 
110. Rxf4 Rxg7 
111. Rf8 Rd7 
112. Re8 Rd6 
113. Rf8 Rd7 
114. Re8 Rd6 
115. Rf8 Rd4 
116. Rf4 Rd8 
117. Rf7 Ra8 
118. Rd7 Ra5 
119. Re7 Ra8 
120. Rxe6 Rb8 
121. Rxh6 Ra8 
122. Rh7 Rb8 
123. Rd7 Ra8 
124. Re7 Rb8 
125. Rd7 Ra8 
126. Re7 Rb8 
127. Rf7 Ra8 
128. Rd7 Re8 
129. Rd4 Ra8 
130. Rb4 Kc8 
131. Rc4 Ra6 
132. Rc5 Kb7 
133. Re5 Ra8 
134. Re6 Rb8 
135. Re7 Ra8 
136. Rd7 Re8 
137. Rd4 Ra8 
138. Rb4 Kc8 
139. Rc4 Rb8 
140. Rxc6 Ra8 
141. Rc5 Rb8 
142. Rc6 Ra8 
143. Rc5 Rb8 
144. Ra5 Rb7 
145. Ra8 Rb8 
146. Ra5 Rb7 
147. Ra8 Rb8 
148. Ra4 Rb7 
149. Ra5 Rb8 
150. Rc5 Rb7 
151. Rc6 Rb8 
152. Ra6 Rb2 
153. Rc6 Rb8 
